No,PSRJ,ref_psr,RAJ,ra_err,ref_ra,DECJ,dec_err,ref_dec,ra_deg,dec_deg
3011,J1947+1957,nab+13,19:47:19.435,0.004,nab+13,+19:57:08.39,0.09,nab+13,296.8309791666667,19.952330555555555
3012,J1947+2011g,hww+21,19:47:47,7.0,hww+21,+20:11,2.0,hww+21,296.9458333333333,20.183333333333334
3015,J1948+1808,psf+22,19:48:22.129,0.004,psf+22,+18:08:30.15,0.08,psf+22,297.09220416666665,18.141708333333334
3016,J1948+2333,lsb+17,19:48:19.317,0.003,lsb+17,+23:33:03.23,0.05,lsb+17,297.08048749999995,23.550897222222222
3017,J1948+2551,nab+13,19:48:17.579,0.001,nab+13,+25:51:51.95,0.02,nab+13,297.0732458333333,25.864430555555558
3018,J1948-27,mss+20,19:48,0.0,mss+20,-27,0.0,mss+20,297.0,-27.0
3019,J1948+2819,psf+22,19:48:38.39,0.01,psf+22,+28:19:20.06,0.19,psf+22,297.1599583333333,28.32223888888889
3020,J1948+3540,dl70,19:48:25.0067,0.001,hlk+04,+35:40:11.057,0.015,hlk+04,297.1041945833333,35.669738055555555
3021,J1949+2306,nab+13,19:49:07.32,0.01,nab+13,+23:06:55.5,0.2,nab+13,297.28049999999996,23.11541666666667
3022,J1949+2516g,hww+21,19:49:37,8.0,hww+21,+25:16,2.0,hww+21,297.40416666666664,25.266666666666666
3023,J1949-2524,mlt+78,19:49:25.41,0.031,hlk+04,-25:24:01,2.1,hlk+04,297.35587499999997,-25.400277777777777
3024,J1949+3106,dfc+12,19:49:29.6374604,3.7e-06,zfk+19,+31:06:03.80604,6e-05,zfk+19,297.3734894183333,31.101057233333336
3025,J1949+3426,acd+19,19:49:13.671,0.006,acd+19,+34:26:33.89,0.08,acd+19,297.3069625,34.442747222222216
3026,J1950+05,cnst96,19:50:58,16.0,cnst96,+05:35,5.0,cnst96,297.7416666666666,5.583333333333333
3027,J1950+2352g,hww+21,19:50:56,7.0,hww+21,+23:52,2.0,hww+21,297.7333333333333,23.866666666666667
3028,J1950+2414,kls+15,19:50:45.063661,2.4e-05,zfk+19,+24:14:56.9639,0.0004,zfk+19,297.6877652541666,24.24915663888889
